,Title,Date,Project Center,Location,Subject Terms,Link,Alternative Link,Advisors,Initials,Notes,Link to summary,Goal,Stakeholders,Impact,Headline,Follow-up,Category,Sub_Category
20,The Aspirations Of Young Women In Worcester Private/charter High Schools Replication Study,01-01-07,On-campus,"Worcester, MA",Women In Engineering | Women In Science,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832819704746&docid=alma9936832819704746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/07D067I.pdf,"Wilkes, John M.",AN,,https://docs.google.com/document/d/1rOVPui_V8i5zfW_XdVjuRiBp_zjz_lkNinAWEBqscxE/edit?usp=sharing,To determine what impact the sex ratio at four different parochial high schools ranging from all male to all female students was on career aspirations,Worcester private/parochial high school students,Results replicated from the original private/charter school career aspirations study (Original 2005 study: https://docs.google.com/document/d/15e8kiUtgGNFnx-hJ44taTO1sZuSg4q-tbgfjub_VN0I/edit?usp=sharing),Studying gendered career interests in Worcester private schools,,Education,Gender Equity
21,Worcester Hs Career Aspiration Replication Study,01-01-06,On-campus,"Worcester, MA","Women | Education, Secondary",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832959404746&docid=alma9936832959404746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06B026I/06B026I.pdf,"Wilkes, John M. | Tomaszewski, Elizabeth",AN,,https://docs.google.com/document/d/1Hn59ANFBobWiixxBvSGKrEMIWVXVyuFWTxZDkipzbBU/edit?usp=sharing,To determine the career interests of juniors was performed in the Worcester Public High Schools for the Advisory Committee on the Status of Women- the primary goal was to determine if the results replicated the previous year's findings,"Worcester high school students, the Advisory Committee on the Status of Women","The same approximate gender ratios of students by career interests, post-graduation plans, and career concerns were found to repeat from previous studies",Studying gendered career interests in Worcester schools,,Education,Gender Equity
22,Middle School Aspirations Study,Jan-07,On-campus,"Worcester, MA",Women--social Conditions | Women--education--science,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832961804746&docid=alma9936832961804746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4452&context=iqp-all,"Wilkes, John M.",CS,,https://docs.google.com/document/d/1fEGhbBIdiunfqMHaHEmQzMwfgB8cQf3n7YFrWXweBW0/edit?usp=sharing,To determine when gender differences take place in career aspirations by administering an aspirations survey to 8th graders,"Worcester public schools, Worcester middle school students",There were no gendered interests in the 8th grade sample,Studying gendered career interests in middle schools,A follow up study would be interesting to try and determine when gendered interests appear in students,Education,Gender Equity
23,North High School: Gender Equity Study,Oct-08,On-campus,"Worcester, MA",Science--study And Teaching | Women--education--science,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832620504746&docid=alma9936832620504746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1606&context=iqp-all,"Skorinko, Jeanine L. | Connors, Robert",CS,,https://docs.google.com/document/d/1_kXrd2I4shZ3U-R8B7CBVlmMBP-6HlFpWgcbLuISanM/edit?usp=sharing,To explore whether exposing students to different areas of science would influence their attitudes towards the different areas of science,North High School students,"Students initially preferred biology over chemistry and physics, but after 14 weeks of going to the club, they liked all subjects equally. No gender differences found in preferences towards science, and ttitudes towards physical science improved equally
",Changing gendered attitudes towards science,,Education,Gender Equity
15,Wps Class Of 1999 Pilot Study For Wsc Follow-up,Jan-03,On-campus,"Worcester, MA",Personality And Intelligence,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832873304746&docid=alma9936832873304746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6067&context=iqp-all,"Wilkes, John M.",CS,Gender was just one component of the analysis,https://docs.google.com/document/d/1Aszsct3JgVweKanyF8CLWoV3fytrjn2vPIUL8lSzmfE/edit?usp=sharing,"To develop a procedure to compare cognitive type, grades, SAT scores, and college placement","Students at Worcester Public Schools, Worcester State College",The common personality type of minorities predicted they would do worse on the SATs,Gender components in standardized tests,,Education,No Sub-Category
47,"We Don’t Agree, But We’re Working Together: Examining How Affiliative Motivation And Perspective Taking Effect Social Tuning",Mar-01,On-campus,"Worcester, MA",Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832232704746&docid=alma9936832232704746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2811&context=iqp-all,"Skorinko, Jeanine L. | John, Melissa-Sue",CS,,https://docs.google.com/document/d/1Mf6W_h1ITCrSBuPO1JqVfUXeZ64neDjVdavzLDsppWA/edit?usp=sharing,To examine the factors that cause students to behave more similar to members of their group or team,People who work in groups,Participants expressed more gender traditional attitudes when having an interpersonal motivation,Behavior in groups,,Education,No Sub-Category
24,Camp Reach Alumni Workshop Development.,01-01-01,On-campus,WPI,"Education, Secondary | Engineering--study And Teaching | Women--education--science","https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9936832896404746&context=L&vid=01WPI_INST:Default&lang=en&search_scope=studentWorks&adaptor=Local%20Search%20Engine&tab=studentWorks&query=any,contains,Camp%20REACH%20Alumni%20Workshop%20Development&offset=0",http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/01D062I.pdf,"Nicoletti, Denise W.",CS,,https://docs.google.com/document/d/1E2cKJ_tjo7p-wPAsmymKDgh9woSO3Q77MgBy6AmfaFc/edit?usp=sharing,"To design a day long workshop for the Camp REACH alumni who are rising ninth graders in order to keep their interest in engineering, math, and science between when they participate in Camp REACH and when they start college",Ninth grade females who are Camp REACH alumni; WPI,Developed and tested a series of workshops for WPI Camp REACH alumni- helps retain interest in STEM,Improving Camp REACH stem ed for girls,,Education,Stem
25,Development Of A Workshop For Camp Reach Alumni.,01-01-01,On-campus,WPI,Women Engineers--education | Curriculum Planning | Project Method In Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832896404746&docid=alma9936832896404746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/01D191I.pdf,"Nicoletti, Denise W.",CS,,https://docs.google.com/document/d/1dTHS4B62iKQaO92WWe9VzREU4t7uCsnBdlxYeLh1iaw/edit?usp=sharing,To reinforce interest in science and engineering for Camp REACH alumni,"Camp REACH alumni, WPI",Developed an egg drop activity and a physics demonstration for Camp REACH alumni,Improving Camp REACH stem ed for girls,,Education,Stem
26,Evaluation Of Camp Reach.,01-01-00,On-campus,"Worcester, MA",Engineering--study And Teaching| Women In Engineering,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832945804746&docid=alma9936832945804746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/00E022I.pdf,"Nicoletti, Denise W.",CS,,https://docs.google.com/document/d/1wNe-fZkVhzbJytpqQxRaIhiGNMKEP9JBt1jdBMg69Pc/edit?usp=sharing,To design a Camp REACH alumni reunion and test run possible activities,"Alumni from Camp REACH, WPI",Developed an egg drop activity and a physics demonstration for Camp REACH alumni,Improving Camp REACH stem ed for girls,,Education,Stem
27,Improvement Of Workshop Component Of Camp Reach.,01-01-04,On-campus,"Worcester, MA",Women Engineers--education| Women,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832789604746&docid=alma9936832789604746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/04B002I.pdf,"Demetry, Chrysanthe | Blaisdell, Stephanie",CS,,https://docs.google.com/document/d/1vochIITtYJUoWzve5HbW-nHnbu6MRV4y5Nl6jFaxhGo/edit?usp=sharing,To improve the workshop component at Camp REACH,"Girls at Camp REACH, WPI",Emphasized the need for more interaction and less discussion for the girls,Improving Camp REACH stem ed for girls,,Education,Stem
28,Redesigning And Expanding Wpi’s Summer Stem Programs For Middle School Girls,Feb-19,On-campus,WPI,Women Engineers--education,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936869292704746&docid=alma9936869292704746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6345&context=iqp-all,"Demetry, Chrysanthe",CS,Visually pleasing report,https://docs.google.com/document/d/1O4L0czp6PFaGQL1NT9gmfScM-Mvr9pQWjhU_C9vlKK0/edit?usp=sharing,"To design STEM activity guidelines for a set of summer programs, which include rising 6th, 7th, and 8th grade girls","Girls in WPI’s summer STEM programs, WPI",Developed 25 modules for use when developing activities for future Camp Reach programs,Improving Camp REACH stem ed for girls,,Education,Stem
29,Design Of A Robotics Workshop For Camp Reach,Jan-00,On-campus,WPI,Engineering--study And Teaching | Women Engineers--education,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832958304746&docid=alma9936832958304746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4400&context=iqp-all,"Nicoletti, Denise W.",CS,,https://docs.google.com/document/d/1HBCqYBNOg1WadeOOZTXauKmG7g6BzzywDbkEAWcKm-8/edit?usp=sharing,"To create an effective, affordable workshop for Camp REACH, a girls' summer camp held annually at Worcester Polytechnic Institute (WPI), that will be both educational and enjoyable for the campers","Girls attending Camp REACH, WPI",Developed and tested a workshop for Camp REACH on Camp REACH alumni,Improving Camp REACH stem ed for girls,,Education,Stem
30,Design Of A Workshop For Camp Reach.,01-01-01,On-campus,WPI,Women In Engineering | Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833050704746&docid=alma9936833050704746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/01D030I.pdf,"Nicoletti, Denise W.",CS,,https://docs.google.com/document/d/1BItC-h_iJBxoNQs-U7vO3B796L9YtJpwbky-JjwcGKQ/edit?usp=sharing,"Through the development of a workshop, attract girls to engineering and show them the importance of engineering- as well as boost their confidence","Girls attending Camp REACH, Camp REACH",Girls were introduced to new topics and gained interest in engineering,Improving Camp REACH stem ed for girls,,Education,Stem
31,North High School -- Science And Technology Club.,01-01-07,On-campus,"Worcester, MA",Science--study And Teaching|engineering--study And Teaching|mathematics--study And Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832773204746&docid=alma9936832773204746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/07E030I.pdf,"Wilkes, John M.",AN,,https://docs.google.com/document/d/1QYxXtV7rqLKgkbd4IwHdsdB6ruDtmyXMdRXMLXmggLk/edit?usp=sharing,To encourage students to take an interest in science and technology and consider this as a career option,"Students, esp. female students pursuing STEM","Had a diverse club in terms of race, gender, and career interests",Encouraging girls to pursue STEM through clubs,,Education,Stem
32,A Future Scientists And Engineers Club For Worcester South High School,04-03-08,On-campus,"Worcester, MA",Engineering--study And Teaching |science--study And Teaching | Women In Engineering,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832700704746&docid=alma9936832700704746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-040308-174710/unrestricted/SOUTHHIGHFINAL.pdf ,"Wilkes, John  M.",CS,,https://docs.google.com/document/d/1LTeZZmlKTnD0Xwa0-ABMI_de1SGOZrr9FtRy1ZDql6Y/edit?usp=sharing,Create a place where South High School students tentatively interested in science or technology as a college major could find out what engineering and science at the college level is about,"Students at Worcester South High School, Worcester City Manager’s Advisory Committee on the Status of Women (ACSW)","Answered questions about college admittance and about science/engineering in college. By the time the program was finished, the ratio was 1:2 females to males (the number of females increased weekly)- successfully increased female involvement",Encouraging girls to pursue STEM through clubs,,Education,Stem
33,Marketing Pre-engineering Diversity -- A Focus On Engineering Minorities,01-01-01,On-campus,"Worcester, MA",Women Engineers--education | Minorities--education,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936841436304746&docid=alma9936841436304746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4555&context=iqp-all,"Doyle, James K. | Camesano, Terri A.",CS,,https://docs.google.com/document/d/1myOCwhpI5v3aBhD6evx1fN1Z85agrMBOKf0_by7BSNA/edit?usp=sharing,To formulate effective recommendations to Doherty High School on how they can obtain a larger female and minority population in the pre-engineering program offered at their school,"Students at Doherty High School, students at Forest Grove Middle school",College surveys showed that the top two factors influencing females’ college choices are parents and teachers,Attracting girls to high school STEM,,Education,Stem
34,Improving Recruiting And Retention -- A Study Of Middle School Students Entering Technology/engineering Programs,Jan-02,On-campus,"Worcester, MA",Engineering--study And Teaching | Women Engineers--education | Mathematics--study And Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832833204746&docid=alma9936832833204746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4556&context=iqp-all,"McNeill, John A. | Loiacono, Eleanor T.",CS,,https://docs.google.com/document/d/1RHOpLkkQpWM9QCMM_92A7mRuGQnjzO1ZSV5-Bnj6--s/edit?usp=sharing,To determine the influences on the recruiting and retention of middle school students into technology and engineering programs,Students at Forest Grove Middle School,Found that girls consider mathematics more difficult and have a much more negative opinion of the subject,Recruiting middle school girls to STEM,,Education,Stem
35,3rd Grade Engineering And Technology Curriculum,Jan-05,On-campus,"Worcester, MA",Engineering--study And Teaching | Women Engineers--education,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832917904746&docid=alma9936832917904746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5150&context=iqp-all,"Fofana, Mustapha S.",CS,Lesson plans in appendices; doesn't really talk about females,https://docs.google.com/document/d/1kQrETvG1j7PPP9nQJhhfqqjOirVXq8gnMs6BTwbvIbE/edit?usp=sharing,"To develop lessons for engineering, work with the teachers to implement the lessons and evaluate the impact of the lessons",Worcester public school students,Developed engineering curriculum that the students enjoyed,3rd grade engineering and tech curriculum,,Education,Stem
36,Exploring Optics,Apr-16,On-campus,"Worcester, MA",Curriculum Planning,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832683604746&docid=alma9936832683604746&lang=en,https://web.wpi.edu/Pubs/E-project/Available/E-project-042716-153236/unrestricted/Final_report.pdf,"Titova, Lyubov",AN,,https://docs.google.com/document/d/18KTLNpRkPeCcvQF8rGbGYJ0enhdLd3SrO9_y0sDS8Zw/edit?usp=sharing,"To design a complete course that is aimed at introducing optics to high school students, to give them knowledge about optics","Girls Inc., summer school students",Developed physics course for high school girls who may show an interest in optics,Introducing girls to optics,,Education,Stem
37,Establishing A Technical University For Women.,01-01-05,On-campus,"Worcester, MA",Women In Engineering,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832820504746&docid=alma9936832820504746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/05D240I.pdf,"Phillies, George D.",CS,"More of a research paper- presents a model of the institution, no recommendations; written because the author believed an all-female institution would encourage more female participation in engineering",https://docs.google.com/document/d/1TwChWvgy8VZUq26mqc_W2EU5tb9Thavu6PdvwWLPVWI/edit?usp=sharing,To develop a non-coeducational technical university in Southern New Hampshire that will be about the same size as Caltech,"No real-world stakeholders; however, the development of this idea could influence females pursuing STEM-related fields",This was more of a research paper focused on developing a model institution. The author wrote this paper because they believed an all-female institution would encourage more female participation in science and engineering.,Developing plans for a female technical university,,Education,Stem
38,Improving Enrollment Of Female Engineers At Ntb,05-01-15,"Zurich, Switzerland","Zurich, Switzerland",Women Engineers--education,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833104404746&docid=alma9936833104404746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-050115-041054/unrestricted/WPI_Enrollment_of_Female_Engineers_2015.pdf,"Jiusto, J. S.| Smith, Ruth L.",CS,,https://docs.google.com/document/d/1JqNI6Nf-DjXDOYHO-QQPFDsKHguXDl_8SYjsnihaBvs/edit?usp=sharing,To improve the participation of women in the NTB Systems Engineering program,Neues Technikum Buchs (NTB),"Found that mentoring and shadowing programs would expose female students to the school
, programs designed with women in mind would help recruit more women to NTB, educating parents and teachers could be included in outreach programs, Girls’ Day would benefit from better marketing
",Attracting women to systems engineering,,Education,Stem
39,Stem Program For The Boys & Girls Club Of Worcester,Dec-15,Worcester Community Project Center,"Worcester, MA",Science--study And Teaching | Engineering--study And Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833025704746&docid=alma9936833025704746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1595&context=iqp-all,"Dehner, Corey | Belz, Melissa",CS,,https://docs.google.com/document/d/13w8Q3DFKCRSka6d1uZWNmlt1xS-KF1hyObAdY9nW9Sk/edit?usp=sharing,"Develop and prototype an engaging educational program, which would allow the Boys & Girls Club of Worcester to effectively and consistently introduce its 10-13 year old members to STEM","Boys & Girls Club of Worcester (BGCW), boys and girls at BGCW","Parental, cultural, religious  influences may dictate not only the interest level of the student regarding STEM, but also children’s ability to foresee themselves in specific STEM careers",STEM ed for the Boys & Girls Club of Worcester,,Education,Stem
40,Boys And Girls Club Iqp,Mar-19,On-campus,"Worcester, MA",Science--study And Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936869295604746&docid=alma9936869295604746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6316&context=iqp-all,"Elmes, Katie | Chen, Katherine ",CS,Visually pleasing report,https://docs.google.com/document/d/1ZTzwuAC6VsYvPGMJOvAefXxmBgsWxanCTlDk1bgdnK4/edit?usp=sharing,To help students and families learn about digital citizenship and internet safety; to help students increase their Microsoft Office program skill sets,Boys and Girls Club of Worcester,Understanding and awareness of digital citizenship and Microsoft Office programs were improved,Digital citizenship with the Boys & Girls Club,,Education,Stem
41,Developing A Steam Strategy For The Boys & Girls Club Of Worcester,05-01-18,Worcester Community Project Center,"Worcester, MA",Curriculum Planning,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936848091304746&docid=alma9936848091304746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6179&context=iqp-all,"Jiusto, J. S. | Peet, R. Creighton",AN,helps students at the boys and girls club; not just females,https://docs.google.com/document/d/1lVKOqji9ns0dfwzOQy9mGVaRIpcqt7dMxR6AingPmX4/edit?usp=sharing,"To help the Boys & Girls Club of Worcester implement a sustainable after-school STEAM (Science, Technology, Engineering, Art, and Mathematics) program",Boys & Girls Club of Worcester,Designed and piloted high yield learning activities using the Club’s new Lego Mindstorms kits and 3D printer,STEAM and the Boys & Girls Club,,Education,Stem
42,Extending The Impact Of Technovation On Armenian School Girls,Apr-19,"Yerevan, Armenia","Yerevan, Armenia",Engineering--study And Teaching | Women Engineers--education | Mobile Apps,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936880956904746&docid=alma9936880956904746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6444&context=iqp-all,"Ault, Holly K. | Aghajanian, Michael J.",CS,"Visually pleasing report, lots of graphics",https://docs.google.com/document/d/1SNJuuMzhxG8w42pZFaykVDy_4CgOxocdjIi5QO7nKaU/edit?usp=sharing,"To identify opportunities to motivate and support the girls to continue developing their personal, professional, and technical skills","Schoolgirls in Armenia, stakeholders of Technovation Armenia, Women and Information Society NGO",Recommended a new organizational structure and a maturity model for Technovation Armenia,Supporting the girls of Technovation Armenia,,Education,Stem
43,Social Networking In First Robotics,Dec-10,On-campus,"Worcester, MA",Engineering--study And Teaching | Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832596004746&docid=alma9936832596004746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1421&context=iqp-all,"Skorinko, Jeanine L.",CS,,https://docs.google.com/document/d/1CKlgomt9i79sVQJuztg9rJys_ya6eyt5Y3VyPr8QIQY/edit?usp=sharing,To look at the effects of social networking within FIRST Robotics,"Girls and boys involved in FIRST robotics, FIRST mentors","Females reported learning less in FIRST than males regardless of their prime; females had significantly lower self-efficacy than males regardless of their prime at the beginning of the season
",Analyzing social networks in FIRST robotics,Follow up to see if problems have changed or are still the same,Education,Stem
44,"Developing Digital Literacy Modules For Women In Cuenca, Ecuador",12/13/2018,"Cuenca, Ecuador","Cuenca, Ecuador",Women--violence Against,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936861988304746&docid=alma9936861988304746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121318-141855/unrestricted/Full_IQP_Report_Digital_Literacy.pdf,"Selkow, Stanley M.",CS,Modules are presented in the appendices,https://docs.google.com/document/d/1TxFe4m522vJ1h0zrOdReUfPALJtd8eKaRPA08HI1mrk/edit?usp=sharing,"To create a set of educational models that could be used to teach digital literacy workshops at Mujeres con Éxito in Cuenca, Ecuador",Women at Mujeres con Éxito,Helped women that were victims of domestic abuse advance through teaching of computer literacy. Safety was heavily addressed when teaching internet and social media use,Digital literacy and victims of domestic abuse,,Education,Stem
45,Using Technology To Enhance Opportunities In A Disadvantaged Community Through Online Advocacy And Computer Education,05-04-15,"Melbourne, Australia","Broadmeadows, Victoria, Australia",Women--violence Against | Community Development | Science--study And Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832980404746&docid=alma9936832980404746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-050415-073524/unrestricted/Banksia_Report_Final.pdf,"Ludwig, Reinhold| Skorinko, Jeanine L.",AN,Uses technology to try to solve social issues,https://docs.google.com/document/d/1g7f9mIJXvV9MXc20YzzBwJ5AKcZFfoVskdCtrKQp-LE/edit?usp=sharing,To develop a series of interactive advocacy videos to raise awareness of violence against women and the implement a computer science curriculum for the  Community Centre,"Women and children in the area, Banskia Gardens Community Services",Demonstrated an underlying theme that technology can provide a valuable asset for Banksia Gardens Community Services. It is hoped that the efforts become an enabler to reduce family violence and help reduce unemployment in communities not only in Broadmeadows but other challenged communities worldwide,Using interactive media to prevent violence against women,,Education,Stem
46,Women's Empowerment Through Increasing Access And Understanding Of Technology,12/17/2015,"Cape Town, South Africa","Cape Town, South Africa",Women--effect Of Technological Innovations On | Community Development | Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832997404746&docid=alma9936832997404746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121715-081812/unrestricted/WPI_CTPC-Sizakuyenza_IT_Programme_Executive_Summary.pdf,"Bulled, Nicola| Jiusto, J. S.",AN,Visually pleasing report,https://docs.google.com/document/d/1v9OyLE2zkMuMfVfy0J7erscsj3BzCVBvShLnlrX6_Vw/edit?usp=sharing,"To empower members of Sizakuyenza’s Women’s Networking Group (WNG) by addressing this digital divide in the township of Philippi, Cape Town","Sizakuyenza, women in Cape Town","Facilitated a pilot technology training programme, created an asset map of technology access points in local communities, developed a proposal to obtain funding for programme continuation and to establish a new technology access point at Sizakuyenza",Addressing the digital divide in Cape Town,,Education,Stem
